repo,retention_tier,intra_repo_id,path_template_labeled,path_template,filename_template,filename_regex,sample_filename,anomaly,file_count_snapshot,first_seen_snapshot,last_seen_snapshot
Reports,ARCHIVE,Next_Day_Offer_Energy_SPARSE,/Reports/ARCHIVE/Next_Day_Offer_Energy_SPARSE/,/Reports/ARCHIVE/Next_Day_Offer_Energy_SPARSE/,PUBLIC_NEXT_DAY_OFFER_ENERGY_SPARSE_{date}.zip,PUBLIC_NEXT_DAY_OFFER_ENERGY_SPARSE_\d{8}\.zip,PUBLIC_NEXT_DAY_OFFER_ENERGY_SPARSE_20250301.zip,,12,2025-05-01T01:02:00,2026-04-01T01:33:00
Reports,ARCHIVE,Next_Day_Offer_FCAS_SPARSE,/Reports/ARCHIVE/Next_Day_Offer_FCAS_SPARSE/,/Reports/ARCHIVE/Next_Day_Offer_FCAS_SPARSE/,PUBLIC_NEXT_DAY_OFFER_FCAS_SPARSE_{date}.zip,PUBLIC_NEXT_DAY_OFFER_FCAS_SPARSE_\d{8}\.zip,PUBLIC_NEXT_DAY_OFFER_FCAS_SPARSE_20250301.zip,,12,2025-05-01T01:17:00,2026-04-01T01:50:00
Reports,ARCHIVE,Next_Day_PreDispatch,/Reports/ARCHIVE/Next_Day_PreDispatch/,/Reports/ARCHIVE/Next_Day_PreDispatch/,PUBLIC_NEXT_DAY_PREDISPATCH_{date}.zip,PUBLIC_NEXT_DAY_PREDISPATCH_\d{8}\.zip,PUBLIC_NEXT_DAY_PREDISPATCH_20250302.zip,,12,2025-05-02T01:04:00,2026-04-02T01:29:00
Reports,ARCHIVE,Next_Day_PreDispatchD,/Reports/ARCHIVE/Next_Day_PreDispatchD/,/Reports/ARCHIVE/Next_Day_PreDispatchD/,PUBLIC_NEXT_DAY_PREDISPATCH_D_{date}.zip,PUBLIC_NEXT_DAY_PREDISPATCH_D_\d{8}\.zip,PUBLIC_NEXT_DAY_PREDISPATCH_D_20250302.zip,,12,2025-05-02T01:04:00,2026-04-02T01:30:00
Reports,ARCHIVE,Operational_Demand,/Reports/ARCHIVE/Operational_Demand/ACTUAL_DAILY/,/Reports/ARCHIVE/Operational_Demand/ACTUAL_DAILY/,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_DAILY_{date}.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_DAILY_\d{8}\.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_DAILY_20250301.zip,,12,2025-05-01T01:17:00,2026-04-01T01:50:00
Reports,ARCHIVE,Operational_Demand,/Reports/ARCHIVE/Operational_Demand/ACTUAL_DAILY_AREA/,/Reports/ARCHIVE/Operational_Demand/ACTUAL_DAILY_AREA/,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_DAILY_AREA_{date}.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_DAILY_AREA_\d{8}\.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_DAILY_AREA_20250301.zip,,12,2025-05-01T01:17:00,2026-04-01T02:06:00
Reports,ARCHIVE,Operational_Demand,/Reports/ARCHIVE/Operational_Demand/ACTUAL_HH/,/Reports/ARCHIVE/Operational_Demand/ACTUAL_HH/,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_HH_{date}.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_HH_\d{8}\.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_HH_20250406.zip,,54,2025-04-20T01:03:00,2026-04-26T01:05:00
Reports,ARCHIVE,Operational_Demand,/Reports/ARCHIVE/Operational_Demand/ACTUAL_HH_AREA/,/Reports/ARCHIVE/Operational_Demand/ACTUAL_HH_AREA/,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_HH_AREA_{date}.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_HH_AREA_\d{8}\.zip,PUBLIC_ACTUAL_OPERATIONAL_DEMAND_HH_AREA_20250408.zip,,53,2025-04-22T01:01:00,2026-04-21T01:01:00
Reports,ARCHIVE,Operational_Demand,/Reports/ARCHIVE/Operational_Demand/FORECAST_HH/,/Reports/ARCHIVE/Operational_Demand/FORECAST_HH/,PUBLIC_FORECAST_OPERATIONAL_DEMAND_HH_{date}.zip,PUBLIC_FORECAST_OPERATIONAL_DEMAND_HH_\d{8}\.zip,PUBLIC_FORECAST_OPERATIONAL_DEMAND_HH_20250406.zip,,54,2025-04-20T01:03:00,2026-04-26T01:05:00
Reports,ARCHIVE,Operational_Demand,/Reports/ARCHIVE/Operational_Demand/FORECAST_HH_AREA/,/Reports/ARCHIVE/Operational_Demand/FORECAST_HH_AREA/,PUBLIC_FORECAST_OPERATIONAL_DEMAND_HH_AREA_{date}.zip,PUBLIC_FORECAST_OPERATIONAL_DEMAND_HH_AREA_\d{8}\.zip,PUBLIC_FORECAST_OPERATIONAL_DEMAND_HH_AREA_20250408.zip,,53,2025-04-22T01:02:00,2026-04-21T01:01:00
Reports,ARCHIVE,Operational_Demand_Less_SNSG,/Reports/ARCHIVE/Operational_Demand_Less_SNSG/ACTUAL_DAILY/,/Reports/ARCHIVE/Operational_Demand_Less_SNSG/ACTUAL_DAILY/,PUBLIC_ACTUAL_OPERATIONAL_DEM_LESS_SNSG_DAILY_{date}.zip,PUBLIC_ACTUAL_OPERATIONAL_DEM_LESS_SNSG_DAILY_\d{8}\.zip,PUBLIC_ACTUAL_OPERATIONAL_DEM_LESS_SNSG_DAILY_20250301.zip,,12,2025-05-01T01:17:00,2026-04-01T02:06:00
Reports,ARCHIVE,Operational_Demand_Less_SNSG,/Reports/ARCHIVE/Operational_Demand_Less_SNSG/ACTUAL_HH/,/Reports/ARCHIVE/Operational_Demand_Less_SNSG/ACTUAL_HH/,PUBLIC_ACTUAL_OPERATIONAL_DEM_LESS_SNSG_HH_{date}.zip,PUBLIC_ACTUAL_OPERATIONAL_DEM_LESS_SNSG_HH_\d{8}\.zip,PUBLIC_ACTUAL_OPERATIONAL_DEM_LESS_SNSG_HH_20250408.zip,,53,2025-04-22T01:02:00,2026-04-21T01:01:00
Reports,ARCHIVE,P5MINFCST,/Reports/ARCHIVE/P{d1}MINFCST/,/Reports/ARCHIVE/P<d1>MINFCST/,PUBLIC_P{d1}MINFCST_{date}.zip,PUBLIC_P\d{1}MINFCST_\d{8}\.zip,PUBLIC_P5MINFCST_20250416.zip,,375,2025-04-18T00:01:00,2026-04-27T00:01:00
Reports,ARCHIVE,P5_Reports,/Reports/ARCHIVE/P{d1}_Reports/,/Reports/ARCHIVE/P<d1>_Reports/,PUBLIC_P{d1}MIN_{date}.zip,PUBLIC_P\d{1}MIN_\d{8}\.zip,PUBLIC_P5MIN_20250416.zip,,375,2025-04-18T01:01:00,2026-04-27T01:02:00
Reports,ARCHIVE,PDPASA,/Reports/ARCHIVE/PDPASA/,/Reports/ARCHIVE/PDPASA/,PUBLIC_PDPASA_{date}.zip,PUBLIC_PDPASA_\d{8}\.zip,PUBLIC_PDPASA_20250410.zip,,53,2025-04-24T01:02:00,2026-04-23T01:02:00
Reports,ARCHIVE,PDPASA_DUIDAVAILABILITY,/Reports/ARCHIVE/PDPASA_DUIDAVAILABILITY/,/Reports/ARCHIVE/PDPASA_DUIDAVAILABILITY/,PUBLIC_PDPASA_DUIDAVAILABILITY_{date}.zip,PUBLIC_PDPASA_DUIDAVAILABILITY_\d{8}\.zip,PUBLIC_PDPASA_DUIDAVAILABILITY_20250701.zip,casing_mismatch_vs_sibling_tier,8,2025-09-01T01:19:00,2026-04-01T02:08:00
Reports,ARCHIVE,PREDISPATCHFCST,/Reports/ARCHIVE/PREDISPATCHFCST/,/Reports/ARCHIVE/PREDISPATCHFCST/,PUBLIC_PREDISPATCHFCST_{date}.zip,PUBLIC_PREDISPATCHFCST_\d{8}\.zip,PUBLIC_PREDISPATCHFCST_20250406.zip,,54,2025-04-20T00:01:00,2026-04-26T00:02:00
Reports,ARCHIVE,PredispatchIS_Reports,/Reports/ARCHIVE/PredispatchIS_Reports/,/Reports/ARCHIVE/PredispatchIS_Reports/,PUBLIC_PREDISPATCHIS_{date1}_{date2}.zip,PUBLIC_PREDISPATCHIS_\d{8}_\d{8}\.zip,PUBLIC_PREDISPATCHIS_20250406_20250412.zip,,54,2025-04-20T01:01:00,2026-04-26T01:02:00
Reports,ARCHIVE,Predispatch_IRSR,/Reports/ARCHIVE/Predispatch_IRSR/,/Reports/ARCHIVE/Predispatch_IRSR/,PUBLIC_PREDISPATCH_IRSR_{date1}_{date2}.zip,PUBLIC_PREDISPATCH_IRSR_\d{8}_\d{8}\.zip,PUBLIC_PREDISPATCH_IRSR_20250406_20250412.zip,,54,2025-04-20T01:01:00,2026-04-26T01:02:00
Reports,ARCHIVE,Predispatch_Reports,/Reports/ARCHIVE/Predispatch_Reports/,/Reports/ARCHIVE/Predispatch_Reports/,PUBLIC_PREDISPATCH_{date1}_{date2}.zip,PUBLIC_PREDISPATCH_\d{8}_\d{8}\.zip,PUBLIC_PREDISPATCH_20250406_20250412.zip,,54,2025-04-20T01:01:00,2026-04-26T01:02:00
Reports,ARCHIVE,Predispatch_Sensitivities,/Reports/ARCHIVE/Predispatch_Sensitivities/,/Reports/ARCHIVE/Predispatch_Sensitivities/,PUBLIC_PREDISPATCH_SENSITIVITIES_{date1}_{date2}.zip,PUBLIC_PREDISPATCH_SENSITIVITIES_\d{8}_\d{8}\.zip,PUBLIC_PREDISPATCH_SENSITIVITIES_20250409_20250415.zip,,53,2025-04-23T01:02:00,2026-04-22T01:02:00
